email,group,last_name,first_name,student_id
s210001@stud.spmi.ru,ГРП-21,Александрук,Богдан Петрович,210001
s210002@stud.spmi.ru,ГРП-21,Барнаш,Сергей Сергеевич,210002
s210003@stud.spmi.ru,ГРП-21,Борисов,Роман Андреевич,210003
s210004@stud.spmi.ru,ГРП-21,Бочарников,Никита Алексеевич,210004
s210005@stud.spmi.ru,ГРП-21,Герасимов,Илья Дмитриевич,210005
s210006@stud.spmi.ru,ГРП-21,Говорова,Анна Ивановна,210006
s210007@stud.spmi.ru,ГРП-21,Мокрицына,Анастасия Николаевна,210007
s210008@stud.spmi.ru,ГРП-21,Мурин,Владимир Михайлович,210008
s210009@stud.spmi.ru,ГРП-21,Мухамеджанова,Полина Петровна,210009
s210010@stud.spmi.ru,ГРП-21,Самсонов,Иоанн Сергеевич,210010
s210011@stud.spmi.ru,ГРП-21,Смирнов,Никита Андреевич,210011
s210012@stud.spmi.ru,ГРП-21,Стальцов,Александр Алексеевич,210012
s210013@stud.spmi.ru,ГРП-21,Суслова,Алёна Дмитриевна,210013
s210014@stud.spmi.ru,ГРП-21,Хафизов,Минтимер Иванович,210014
s210015@stud.spmi.ru,ГРП-21,Цветкова,Екатерина Николаевна,210015
s210016@stud.spmi.ru,ГРП-21,Цибинов,Савелий Михайлович,210016
s210017@stud.spmi.ru,ГРП-21,Юрков,Андрей Петрович,210017
s210018@stud.spmi.ru,ГРП-21,Яценко,Александр Сергеевич,210018
s220076@stud.spmi.ru,КРС-22,Громов,Евгений Дмитриевич,220076
s220077@stud.spmi.ru,КРС-22,Дешина,Арина Ивановна,220077
s220078@stud.spmi.ru,КРС-22,Ещенко,Николай Николаевич,220078
s220079@stud.spmi.ru,КРС-22,Ильченко,Артём Михайлович,220079
s220080@stud.spmi.ru,КРС-22,Молочко,Станислав Петрович,220080
s220081@stud.spmi.ru,КРС-22,Мягков,Дмитрий Сергеевич,220081
s220082@stud.spmi.ru,КРС-22,Нартдинов,Даниль Андреевич,220082
s220083@stud.spmi.ru,КРС-22,Онищенко,Софья Алексеевна,220083
s220084@stud.spmi.ru,КРС-22,Парфенов,Матвей Дмитриевич,220084
s220085@stud.spmi.ru,КРС-22,Полухин,Илья Иванович,220085
s220086@stud.spmi.ru,КРС-22,Савельев,Владислав Николаевич,220086
s220087@stud.spmi.ru,КРС-22,Семикоз,Богдан Михайлович,220087
s220088@stud.spmi.ru,КРС-22,Сехниева,Кристина Петровна,220088
s220089@stud.spmi.ru,КРС-22,Шакирова,Аделина Сергеевна,220089
s220051@stud.spmi.ru,НБ-22,Авдонин,Александр Алексеевич,220051
s220199@stud.spmi.ru,НБ-22,Авдонин,Александр Николаевич,220199
s220052@stud.spmi.ru,НБ-22,Адиятуллин,Тимур Дмитриевич,220052
s220200@stud.spmi.ru,НБ-22,Адиятуллин,Тимур Михайлович,220200
s220053@stud.spmi.ru,НБ-22,Балановский,Денис Иванович,220053
s220201@stud.spmi.ru,НБ-22,Балановский,Денис Петрович,220201
s220054@stud.spmi.ru,НБ-22,Бородаев,Никита Николаевич,220054
s220202@stud.spmi.ru,НБ-22,Бородаев,Никита Сергеевич,220202
s220203@stud.spmi.ru,НБ-22,Борсуков,Алексей Андреевич,220203
s220055@stud.spmi.ru,НБ-22,Борсуков,Алексей Михайлович,220055
s220204@stud.spmi.ru,НБ-22,Бутырев,Сергей Алексеевич,220204
s220056@stud.spmi.ru,НБ-22,Бутырев,Сергей Петрович,220056
s220205@stud.spmi.ru,НБ-22,Вавилин,Иван Дмитриевич,220205
s220057@stud.spmi.ru,НБ-22,Вавилин,Иван Сергеевич,220057
s220058@stud.spmi.ru,НБ-22,Власенко,Илья Андреевич,220058
s220206@stud.spmi.ru,НБ-22,Власенко,Илья Иванович,220206
s220059@stud.spmi.ru,НБ-22,Дебеляк,Амил Алексеевич,220059
s220207@stud.spmi.ru,НБ-22,Дебеляк,Амил Николаевич,220207
s220060@stud.spmi.ru,НБ-22,Джаутханов,Саид-Магомед Дмитриевич,220060
s220208@stud.spmi.ru,НБ-22,Джаутханов,Саид-Магомед Михайлович,220208
s220221@stud.spmi.ru,НБ-22,Ейд,Амр Дмитриевич,220221
s220073@stud.spmi.ru,НБ-22,Ейд,Амр Сергеевич,220073
s220061@stud.spmi.ru,НБ-22,Загребин,Артем Иванович,220061
s220209@stud.spmi.ru,НБ-22,Загребин,Артем Петрович,220209
s220074@stud.spmi.ru,НБ-22,Занг,Атангана Андреевич,220074
s220222@stud.spmi.ru,НБ-22,Занг,Атангана Иванович,220222
s220062@stud.spmi.ru,НБ-22,Иммиев,Магомедхан Николаевич,220062
s220210@stud.spmi.ru,НБ-22,Иммиев,Магомедхан Сергеевич,220210
