faculty_code,department_code,department_title,discipline_title,group_name,course,student_count,lab_title,equipment,capacity,duration_minutes,room_number,training_center_number,teacher_name,teacher_requires_presence,source_sheets,comments,check_ok,review_comment
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-19,4,28,Определение зависимости давления водяного пара от температуры автоклавного процесса,Реакторная система с химическим емкостным реактором с мешалкой периодического / полупериодического действия (требует закупки),1,180,,1,Куртенков Р.В.,нет,2022-2023 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-19,4,28,Определение констант процесса фильтрации,Лабораторная установка по определению параметров процесса фильтрации,1,90,,1,Куртенков Р.В.,нет,2022-2023 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-19,4,28,Определение удельной площади сгущения при различных условиях,Лабораторная установка по исследованию сгущения материала при различных условиях,1,270,,1,Куртенков Р.В.,нет,2022-2023 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-19,4,28,Разделение гетерогенных систем в поле центробежных сил,"центрифуга лабораторная, пробирки реактивы",1,180,,1,Куртенков Р.В.,нет,2022-2023 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-20,4,26,Определение зависимости давления водяного пара от температуры автоклавного процесса,Реакторная система с химическим емкостным реактором с мешалкой периодического / полупериодического действия (требует закупки),3,45,3432,1,Васильева А.А.,,2023-2024 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-20,4,26,Определение констант процесса фильтрации,Лабораторная установка по определению параметров процесса фильтрации,3,45,3432,1,Васильева А.А.,,2023-2024 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-20,4,26,Определение удельной площади сгущения при различных условиях,Лабораторная установка по исследованию сгущения материала при различных условиях,3,45,3432,1,Васильева А.А.,,2023-2024 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-20,4,26,Разделение гетерогенных систем в поле центробежных сил,"центрифуга лабораторная, пробирки реактивы",3,45,3432,1,Васильева А.А.,,2023-2024 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-21-1,4,19,Определение зависимости давления водяного пара от температуры автоклавного процесса,Реакторная система с химическим емкостным реактором с мешалкой периодического / полупериодического действия (требует закупки),4,180,3432,1,Федоров А.Т.,,2024-2025 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-21-1,4,19,Определение констант процесса фильтрации,Лабораторная установка по определению параметров процесса фильтрации,4,90,3432,1,Федоров А.Т.,,2024-2025 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-21-1,4,19,Определение удельной площади сгущения при различных условиях,Лабораторная установка по исследованию сгущения материала при различных условиях,4,270,3432,1,Федоров А.Т.,,2024-2025 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-21-1,4,19,Разделение гетерогенных систем в поле центробежных сил,"центрифуга лабораторная, пробирки реактивы",4,180,3432,1,Федоров А.Т.,,2024-2025 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-21-2,4,19,Определение зависимости давления водяного пара от температуры автоклавного процесса,Реакторная система с химическим емкостным реактором с мешалкой периодического / полупериодического действия (требует закупки),4,180,3432,1,Федоров А.Т.,,2024-2025 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-21-2,4,19,Определение констант процесса фильтрации,Лабораторная установка по определению параметров процесса фильтрации,4,90,3432,1,Федоров А.Т.,,2024-2025 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-21-2,4,19,Определение удельной площади сгущения при различных условиях,Лабораторная установка по исследованию сгущения материала при различных условиях,4,270,3432,1,Федоров А.Т.,,2024-2025 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-21-2,4,19,Разделение гетерогенных систем в поле центробежных сил,"центрифуга лабораторная, пробирки реактивы",4,180,3432,1,Федоров А.Т.,,2024-2025 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-22,4,17,Определение зависимости давления водяного пара от температуры автоклавного процесса,Реакторная система с химическим емкостным реактором с мешалкой периодического / полупериодического действия (требует закупки),4,180,3432,1,Федоров А.Т.,,2025-2026 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-22,4,17,Определение констант процесса фильтрации,Лабораторная установка по определению параметров процесса фильтрации,4,90,3432,1,Федоров А.Т.,,2025-2026 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-22,4,17,Определение удельной площади сгущения при различных условиях,Лабораторная установка по исследованию сгущения материала при различных условиях,4,270,3432,1,Федоров А.Т.,,2025-2026 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургические процессы и аппараты,МЦ-22,4,17,Разделение гетерогенных систем в поле центробежных сил,"центрифуга лабораторная, пробирки реактивы",4,180,3432,1,Федоров А.Т.,,2025-2026 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургическое оборудование,АПМ-19,3,14,Определение зависимости давления водяного пара от температуры автоклавного процесса,Реакторная система с химическим емкостным реактором с мешалкой периодического / полупериодического действия (требует закупки),1,180,,1,Куртенков Р.В.,да,2021-2022 уч.год,Требуется закупка лабораторного сосуда работающего под давлением методические указания обновляются. (в дальнейшем планируется проведение),,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургическое оборудование,АПМ-19,3,14,Определение констант процесса фильтрации,Лабораторная установка по определению параметров процесса фильтрации,1,90,,1,Куртенков Р.В.,нет,2021-2022 уч.год,"Установка на реконструкции, проведение не возможно, методические указания на обновлении",,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургическое оборудование,АПМ-19,3,14,Определение удельной площади сгущения при различных условиях,Лабораторная установка по исследованию сгущения материала при различных условиях,1,270,,1,Куртенков Р.В.,нет,2021-2022 уч.год,"Установка на модернизации, ЛР проводится, методические указания обновляются",,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургическое оборудование,АПМ-19,3,14,Разделение гетерогенных систем в поле центробежных сил,"центрифуга лабораторная, пробирки реактивы",1,180,,1,Куртенков Р.В.,нет,2021-2022 уч.год,"1.Лабораторная работа НОВАЯ проводится в замен теплообменников различной конфигурациги, методические указания на стадии обновления 2. ЛР Новая на стадии запуска, проводится, методические указания на стадии разработки",,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургическое оборудование,АПМ-20,3,16,Определение зависимости давления водяного пара от температуры автоклавного процесса,Реакторная система с химическим емкостным реактором с мешалкой периодического / полупериодического действия (требует закупки),1,180,,1,Куртенков Р.В.,нет,2022-2023 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургическое оборудование,АПМ-20,3,16,Определение констант процесса фильтрации,Лабораторная установка по определению параметров процесса фильтрации,1,90,,1,Куртенков Р.В.,нет,2022-2023 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургическое оборудование,АПМ-20,3,16,Определение удельной площади сгущения при различных условиях,Лабораторная установка по исследованию сгущения материала при различных условиях,1,270,,1,Куртенков Р.В.,нет,2022-2023 уч.год,,,
ФПМС,МЕТ,Кафедра металлургии,Гидрометаллургическое оборудование,АПМ-20,3,16,Разделение гетерогенных систем в поле центробежных сил,"центрифуга лабораторная, пробирки реактивы",1,180,,1,Куртенков Р.В.,нет,2022-2023 уч.год,,,
