discipline_title,lab_title,equipment,capacity,duration_minutes,room_number,training_center_number,teacher_name,groups_sample,source_sheets,check_ok,review_comment
Гидрометаллургические процессы и аппараты,Определение зависимости давления водяного пара от температуры автоклавного процесса,Реакторная система с химическим емкостным реактором с мешалкой периодического / полупериодического действия (требует закупки),1,180,,1,Куртенков Р.В.,МЦ-19,2022-2023 уч.год,,
Гидрометаллургические процессы и аппараты,Определение зависимости давления водяного пара от температуры автоклавного процесса,Реакторная система с химическим емкостным реактором с мешалкой периодического / полупериодического действия (требует закупки),3,45,3432,1,Васильева А.А.,МЦ-20,2023-2024 уч.год,,
Гидрометаллургические процессы и аппараты,Определение констант процесса фильтрации,Лабораторная установка по определению параметров процесса фильтрации,1,90,,1,Куртенков Р.В.,МЦ-19,2022-2023 уч.год,,
Гидрометаллургические процессы и аппараты,Определение констант процесса фильтрации,Лабораторная установка по определению параметров процесса фильтрации,3,45,3432,1,Васильева А.А.,МЦ-20,2023-2024 уч.год,,
Гидрометаллургические процессы и аппараты,Определение удельной площади сгущения при различных условиях,Лабораторная установка по исследованию сгущения материала при различных условиях,1,270,,1,Куртенков Р.В.,МЦ-19,2022-2023 уч.год,,
Гидрометаллургические процессы и аппараты,Определение удельной площади сгущения при различных условиях,Лабораторная установка по исследованию сгущения материала при различных условиях,3,45,3432,1,Васильева А.А.,МЦ-20,2023-2024 уч.год,,
Гидрометаллургические процессы и аппараты,Разделение гетерогенных систем в поле центробежных сил,"центрифуга лабораторная, пробирки реактивы",1,180,,1,Куртенков Р.В.,МЦ-19,2022-2023 уч.год,,
Гидрометаллургические процессы и аппараты,Разделение гетерогенных систем в поле центробежных сил,"центрифуга лабораторная, пробирки реактивы",3,45,3432,1,Васильева А.А.,МЦ-20,2023-2024 уч.год,,
Гидрометаллургическое оборудование,Определение зависимости давления водяного пара от температуры автоклавного процесса,Реакторная система с химическим емкостным реактором с мешалкой периодического / полупериодического действия (требует закупки),1,180,,1,Куртенков Р.В.,АПМ-19,2021-2022 уч.год,,
Гидрометаллургическое оборудование,Определение затрат мощности на перемешивание в аппарате с мешалкой,"Различные типы перемешивающих устройств, приво мешалки, штатив, стакан стеклянный 2-4 л.",2,180,3432,1,Куртенков Р.В.,АПМ-21,2023-2024 уч.год,,
Гидрометаллургическое оборудование,Определение констант процесса фильтрации,Лабораторная установка по определению параметров процесса фильтрации,1,90,,1,Куртенков Р.В.,АПМ-19,2021-2022 уч.год,,
Гидрометаллургическое оборудование,Определение констант процесса фильтрации,Установка по определению констант процесса фильтрации,2,180,3432,1,Куртенков Р.В.,АПМ-21,2023-2024 уч.год,,
Гидрометаллургическое оборудование,Определение удельной площади сгущения,Установка по определению удельной площади сгущения,2,180,3432,1,Куртенков Р.В.,АПМ-21,2023-2024 уч.год,,
